Chapter Number,Chapter,Section Number,Section Title,Section Content
8,Offences Against Public Tranquillity,156,Liability of agent of owner or occupier for whose benefit riot is committed,"Whenever a riot is committed for the benefit or on behalf of any person who is the owner or occupier of any land respecting which such riot takes place, or who claims any interest in such land, or in the subject of any dispute which gave rise to the riot, or who has accepted or derived any benefit therefrom, the agent or manager of such person shall be punishable with fine, if such agent or manager, having reason to believe that such riot was likely to be committed, or that the unlawful assembly by which such riot was committed was likely to be held, shall not use all lawful means in his power to prevent such riot or assembly from taking place and for suppressing and dispersing the same."
8,Offences Against Public Tranquillity,157,Harbouring persons hired for an unlawful assembly,"Whoever harbours, receives or assembles, in any house or premises in his occupation or charge, or under his control any persons knowing that such persons have been hired, engaged or employed, or are about to be hired, engaged or employed, to join or become members of an unlawful assembly, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both."
8,Offences Against Public Tranquillity,158,Being hired to take part in an unlawful assembly or riot,"Whoever is engaged, or hired, or offers or attempts to be hired or engaged, to do or assist in doing any of the acts specified in section 141, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.Or to Go Armed ì and whoever, being so engaged or hired as aforesaid, goes armed, or engages or offers to go armed, with any deadly weapon or with anything which used as a weapon of offence is likely to cause death, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
8,Offences Against Public Tranquillity,159,Affray,"When two or more persons, by fighting in a public place, disturb the public peace, they are said to commit an affrayù."
8,Offences Against Public Tranquillity,160,Punishment for committing affray,"Whoever commits an affray, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to one hundred rupees, or with both."
9,Offences By or Relating to Public Servants,,,
9,Offences By or Relating to Public Servants,161,(Repealed),"Rep. by the Prevention of Corruption Act, 1988 (49 of 1988), s. 31."
9,Offences By or Relating to Public Servants,162,(Repealed),"Rep. by the Prevention of Corruption Act, 1988 (49 of 1988), s. 31."
9,Offences By or Relating to Public Servants,163,(Repealed),"Rep. by the Prevention of Corruption Act, 1988 (49 of 1988), s. 31."
9,Offences By or Relating to Public Servants,164,(Repealed),"Rep. by the Prevention of Corruption Act, 1988 (49 of 1988), s. 31."
9,Offences By or Relating to Public Servants,165,(Repealed),"Rep. by the Prevention of Corruption Act, 1988 (49 of 1988), s. 31."
9,Offences By or Relating to Public Servants,165A,(Repealed),"Rep. by the Prevention of Corruption Act, 1988 (49 of 1988), s. 31."
9,Offences By or Relating to Public Servants,166,"Public servant disobeying law, with intent to cause injury to any person","Whoever, being a public servant, knowingly disobeys any direction of the law as to the way in which he is to conduct himself as such public servant, intending to cause, or knowing it to be likely that he will, by such disobedience, cause injury to any person, shall be punished with simple imprisonment for a term which may extend to one year, or with fine, or with both.IIIustrationA, being an officer directed by law to take property in execution, in order to satisfy a decree pronounced in Zô favour by a Court of Justice, knowingly disobeys that direction of law, with the knowledge that he is likely thereby to cause injury to Z. A has committed the offence defined in this section."
9,Offences By or Relating to Public Servants,166A,Public Servant disobeying direction under Law1,"Whoever, being a public servantîknowingly disobeys any direction of the law which prohibits him from requiring the attendance at any place of any person for the purpose of investigation into an offence or any other, orknowingly disobeys, to the prejudice of any person, any other direction of the law regulating the manner in which he shall conduct such investigation, orfails to record any information given to him under sub-section (1) of section 154 of the Code of Criminal Procedure, 1973, in relation to cognizable offence punishable under section 326A, section 326B, section 354, section 354B, section 370, section 370A, section 376, section 376A, section 376B, section 376C, section 376D, section 376E or section 509,shall be punished with rigorous imprisonment for a term which shall not be less than six months but which may extend to two years, and shall also be liable to fine.1 Criminal Law (Amendment) Act, 2013"
9,Offences By or Relating to Public Servants,166B,Punishment for non treatment of victim1,"Whoever, being in charge of a hospital, public or private, whether run by the Central Government, the State Government, local bodies or any other person, contravenes the provisions of section 357C of the Code of Criminal Procedure, 1973, shall be punished with imprisonment for a term which may extend to one year or with fine or with both.1 Criminal Law (Amendment) Act, 2013"
9,Offences By or Relating to Public Servants,167,Public servant framing an incorrect document with intent to cause injury,"Whoever, being a public servant, and being, as such public servant, charged with the preparation or translation of any document or electronic record, frames or translates that document or electronic record in a manner which he knows or believes to be incorrect, intending thereby to cause or knowing it to be likely that he may thereby cause injury to any person, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
9,Offences By or Relating to Public Servants,168,Public servant unlawfully engaging in trade,"Whoever, being a public servant, and being legally bound as such public servant not to engages in trade, engages in trade, shall be punished with simple imprisonment for a term which may extend to one year, or with fine, or with both."
9,Offences By or Relating to Public Servants,169,Public servant unlawfully buying or bidding for property,"Whoever, being a public servant, and being legally bound as such public servant, not to purchase or bid for certain property, purchases or bids for that property, either in his own name or in the name of another, or jointly, or in shares with others, shall be punished with simple imprisonment for a term which may extend to two years, or with fine, or with both; and the property, if purchased, shall be confiscated."
9,Offences By or Relating to Public Servants,170,Personating a public servant,"Whoever pretends to hold any particular office as public servant, knowing that he does not hold such office or falsely personates any other person holding such office, and in such assumed character does or attempts to do any act under colour of such office, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
9,Offences By or Relating to Public Servants,171,Wearing garb or carrying token used by public servant with fraudulent intent,"Whoever, not belonging to a certain class of public servants, wears any garb or carries any token resembling any garb or token used by that class of public servants, with the intention that it may be believed, or with the knowledge that it is likely to be believed, that he belongs to that class of public servants, shall be punished with imprisonment of either description, for a term which may extend to three months, or with fine which may extend to two hundred rupees, or with both."
9A,Offences Relating to Elections,,,
9A,Offences Relating to Elections,171A,"Candidateù, Electoral rightù defined","For the purposes of this Chapter:candidateù means a person who has been nominated as a candidate at any election;electoral rightù means the right of a person to stand, or not to stand as, or to withdraw from being, a candidate or to vote or refrain from voting at an election."
9A,Offences Relating to Elections,171B,Bribery,"Whoever -gives a gratification to any person with the object of inducing him or any other person to exercise any electoral right or of rewarding any person for having exercised any such right; oraccepts either for himself or for any other person any gratification as a reward for exercising any such right or for inducing or attempting to induce any other person to exercise any such right, commits the offence of bribery;Provided that a declaration of public policy or a promise of public action shall not be an offence under this section.A person who offers, or agrees to give, or offers or attempts to procure, a gratification shall be deemed to give a gratification.A person who obtains or agrees to accept or attempts to obtain a gratification shall be deemed to accept a gratification, and a person who accepts a gratification as a motive for doing what he does not intend to do, or as a reward for doing what he has not done, shall be deemed to have accepted the gratification as a reward."
9A,Offences Relating to Elections,171C,Undue influence at elections,"Whoever voluntarily interferes or attempts to interfere with the free exercise of any electoral right commits the offence of undue influence at an election.Without prejudice to the generality of the provisions of sub-section (1), whoeverthreatens any candidate or voter, or any person in whom a candidate or voter is interested, with injury of any kind, orinduces or attempts to induce a candidate or voter to believe that he or any person in whom he is interested will become or will be rendered an object of Divine displeasure or of spiritual censure, shall be deemed to interfere with the free exercise of the electoral right of such candidate or voter, within the meaning of sub-section (1).A declaration of public policy or a promise of public action, or the mere exercise or a legal right without intent to interfere with an electoral right, shall not be deemed to be interference within the meaning of this section."
9A,Offences Relating to Elections,171D,Personation at elections,"Whoever at an election applies for a voting paper on votes in the name of any other person, whether living or dead, or in a fictitious name, or who having voted once at such election applies at the same election for a voting paper in his own name, and whoever abets, procures or attempts to procure the voting by any person in any such way, commits the offence of personation at an election."
9A,Offences Relating to Elections,171E,Punishment for bribery,"Whoever commits the offence of bribery shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both;Provided that bribery by treating shall be punished with fine only.ExplanationsTreatingù means that form of bribery where the gratification consists in food, drink, entertainment, or provision."
9A,Offences Relating to Elections,171F,Punishment for undue influence or personation at an election,"Whoever commits the offence of undue influence or personation at an election shall be punished with imprisonment of either description for a term which may extend to one year or with fine, or with both."
9A,Offences Relating to Elections,171G,False statement in connection with an election,"Whoever with intent to affect the result of an election makes or publishes any statement purporting to be a statement of fact which is false and which he either knows or believes to be false or does not believe to be true, in relation to the personal character or conduct of any candidate shall be punished with fine."
9A,Offences Relating to Elections,171H,Illegal payments in connection with an election,"Whoever without the general or special authority in writing of a candidate incurs or authorizes expenses on account of the holding of any public meeting, or upon any advertisement, circular or publication, or in any other way whatsoever for the purpose of promoting or procuring the election of such candidate, shall be punished with fine which may extend to five hundred rupees;Provided that if any person having incurred any such expenses not exceeding the amount of ten rupees without authority obtains within ten days from the date on which such expenses were incurred the approval in writing of the candidate, he shall be deemed to have incurred such expenses with the authority of the candidate."
9A,Offences Relating to Elections,171,I Failure to keep election accounts,Whoever being required by any law for the time being in force or any rule having the force of law to keep accounts of expenses incurred at or in connection with an election fails to keep such accounts shall be punished with fine which may extend to five hundred rupees.
10,Contempts of Authority of Public Servants,,,
10,Contempts of Authority of Public Servants,172,Absconding to avoid service of summons or other proceeding,"Whoever absconds in order to avoid being served with a summons, notice or order proceeding from any public servant legally competent, as such public servant, to issue such summons, notice or order, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both; or, if the summons or notice or order is to attend in person or by agent, or to produce a document or electronic record in a Court of Justice, with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
10,Contempts of Authority of Public Servants,173,"Preventing service of summons or other proceeding, or preventing publication thereof","Whoever in any manner intentionally prevents the serving on himself, or on any other person, of any summons, notice or order proceeding from any public servant legally competent, such public servant, to issue such summons, notice or order,or intentionally prevents the lawful affixing to any place of any such summons, notice or order,or intentionally removes any such summons, notice or order from any place to which it is lawfully affixed,or intentionally prevents the lawful making of any proclamation, under the authority of any public servant legally competent, as such public servant, to direct such proclamation to be made,shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both;or, if the summons, notice, order or proclamation is to attend in person or by agent, or to produce a document or electronic record in a Court of Justice, with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
10,Contempts of Authority of Public Servants,174,Non-attendance in obedience to an order from public servant,"Whoever, being legally bound to attend in person or by an agent at a certain place and time in obedience to a summons, notice, order, or proclamation proceeding from any public servant legally competent, as such public servant, to issue the same, intentionally omits to attend at that place or time, or departs from the place where he is bound to attend before the time at which it is lawful for him to depart, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both;or, if the summons, notice, order or proclamation is to attend in person or by agent in a Court of Justice, with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.IllustrationsA, being legally bound to appear before the High Court at Calcutta, in obedience to a subpoena issuing from that Court, intentionally omits to appear. A has committed the offence defined in this section.A, being legally bound to appear before a District Judge, as a witness, in obedience to a summons issued by that District Judge intentionally omits to appear. A has committed the offence defined in this section."
10,Contempts of Authority of Public Servants,175,Omission to produce document to public servant by person legally bound to produce it,"Whoever, being legally bound to produce or deliver up any document or electronic record to any public servant, as such, intentionally omits so to produce or deliver up the same, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both;or, if the document or electronic record is to be produced or delivered up to a Court of Justice, with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.IllustrationsA, being legally bound to produce a document or electronic record before a District court, intentionally omits to produce the same. A has committed the offence defined in this section."
10,Contempts of Authority of Public Servants,176,Omission to give notice or information to public servant by person legally bound to give it,"Whoever, being legally bound to give any notice or to furnish information on any subject to any public servant, as such, intentionally omits to give such notice or to furnish such information in the manner and at the time required by law, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both;or, if the notice or information required to be given respects the commission of an offence, or is required for the purpose of preventing the commission of an offence, or in order to the apprehension of an offender, with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both;or, if the notice or information required to be given is required by an order passed under sub-section (1) of section 565 of the Code of Criminal Procedure, 1898 (5 of 1898), with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
10,Contempts of Authority of Public Servants,177,Furnishing false information,"Whoever, being legally bound to furnish information on any subject to any public servant, as such, furnishes, as true, information on the subject which he knows or has reason to believe to be false shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both;or, if the information which he is legally bound to give respects the commission of an offence, or is required for the purpose of preventing the commission of an offence, or in order to the apprehension of an offender, with imprisonment of either description for a term which may extend to two years, or with fine, or with both.IllustrationsA, a landholder, knowing of the commission of a murder within the limits of his estate, willfully misinforms the Magistrate of the district that the death has occurred by accident in consequence of the bite of a snake. A is guilty of the offence defined in this section.A, a village watchman, knowing that a considerable body of strangers has passed through his village in order to commit a dacoity in the house of Z, a wealthy merchant residing in a neighboring place, and being bound under clause 5, section VII, Regulation III, 1821, of the Bengal Code, to give early and punctual information of the above fact to the officer of the nearest police station, willfully misinforms the police officer that a body of suspicious characters passed through the village with a view to commit dacoity in a certain distant place in a different direction. Here A is guilty of the offence defined in the latter part of this section.ExplanationsIn section 176 and in this section the word offenceù includes any act committed at any place out of India, which, if committed in India, would be punishable under any of the following sections, namely, 302, 304, 382, 392, 393, 394, 395, 396, 397, 398, 399, 402, 435, 436, 449, 450, 457, 458, 459 and 460; and the word offenderù includes any person who is alleged to have been guilty of any such act."
10,Contempts of Authority of Public Servants,178,Refusing oath or affirmation when duly required by public servant to make it,"Whoever refuses to bind himself by an oath or affirmation to state the truth, when required so to bind himself by a public servant legally competent to require that he shall so bind himself, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
10,Contempts of Authority of Public Servants,179,Refusing to answer public servant authorized to question,"Whoever, being legally bound to state the truth on any subject to any public servant, refuses to answer any question demanded of him touching that subject by such public servant in the exercise of the legal powers of such public servant, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
10,Contempts of Authority of Public Servants,180,Refusing to sign statement,"Whoever refuses to sign any statement made by him, when required to sign that statement by a public servant legally competent to require that he shall sign that statement, shall be punished with simple imprisonment for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both."
10,Contempts of Authority of Public Servants,181,False statement on oath or affirmation to public servant or person authorized to administer an oath or affirmation,"Whoever, being legally bound by an oath or affirmation to state the truth on any subject to any public servant or other person authorized by law to administer such oath or affirmation, makes, to such public servant or other person as aforesaid, touching that subject, any statement which is false, and which he either knows or believes to be false or does not believe to be true, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine."
10,Contempts of Authority of Public Servants,182,"False information, with intent to cause public servant to use his lawful power to the injury of another person","Whoever gives to any public servant any information which he knows or believes to be false, intending thereby to cause, or knowing it to be likely that he will thereby cause such public servant -to do or omit anything which such public servant ought not to do or omit if the true state of facts respecting which such information is given were known by him, orto use the lawful power of such public servant to the injury or annoyance of any person, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.IllustrationsA informs a Magistrate that Z, a police-officer, subordinate to such Magistrate, has been guilty of neglect of duty or misconduct, knowing such information to be false, and knowing it to be likely that the information will cause the Magistrate to dismiss Z. A has committed the offence defined in this section.A falsely informs a public servant that Z has contraband salt in a secret place, knowing such information to be false, and knowing that it is likely that the consequence of the information will be a search of Zô premises, attended with annoyance to Z. A has committed the offence defined in this section.A falsely informs a policeman that he has been assaulted and robbed in the neighborhood of a particular village. He does not mention the name of any person as one of his assailants, but knows it to be likely that in consequence of this information the police will make enquiries and institute searches in the village to the annoyance of the villagers or some of them. A has committed an offence under this section."
10,Contempts of Authority of Public Servants,183,Resistance to the taking of property by the lawful authority of a public servant,"Whoever offers any resistance to the taking of any property by the lawful authority of any public servant, knowing or having reason to believe that he is such public servant, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
10,Contempts of Authority of Public Servants,184,Obstructing sale of property offered for sale by authority of public servant,"Whoever intentionally obstructs any sale of property offered for sale by the lawful authority of any public servant, as such, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both."
10,Contempts of Authority of Public Servants,185,Illegal purchase or bid for property offered for sale by authority of public servant,"Whoever, at any sale of property held by the lawful authority of a public servant, as such, purchases or bids for any property on account of any person, whether himself or any other, whom he knows to be under a legal incapacity to purchase that property at that sale, or bids for such property not intending to perform the obligations under which he lays himself by such bidding, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both."
10,Contempts of Authority of Public Servants,186,Obstructing public servant in discharge of public functions,"Whoever voluntarily obstructs any public servant in the discharge of his public functions, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both."
10,Contempts of Authority of Public Servants,187,Omission to assist public servant when bound by law to give assistance,"Whoever, being bound by law to render or furnish assistance to any public servant in the execution of his public duty, intentionally omits to give such assistance, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both; and if such assistance be demanded of him by a public servant legally competent to make such demand for the purposes of executing any process lawfully issued by a Court of Justice, or of preventing the commission of an offence, or suppressing a riot, or affray, or of apprehending a person charged with or guilty of an offence, or of having escaped from lawful custody, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to five hundred rupees, or with both."
10,Contempts of Authority of Public Servants,188,Disobedience to order duly promulgated by public servant,"Whoever, knowing that, by an order promulgated by a public servant lawfully empowered to promulgate such order, he is directed to abstain from a certain act, or to take certain order with certain property in his possession or under his management disobeys such direction, shall, if such disobedience causes or tends to cause obstruction, annoyance or injury, or risk of obstruction, annoyance or injury, to any persons lawfully employed, be punished with simple imprisonment for a term which may extend to one month or with fine which may extend to two hundred rupees, or with both:and if such disobedience causes or tends to cause danger to human life, health or safety, or causes or tends to cause a riot or affray, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.ExplanationsIt is not necessary that the offender should intend to produce harm, or contemplate his disobedience as likely to produce harm. It is sufficient that he knows of the order which he disobeys, and that his disobedience produces, or is likely to produce, harm.IllustrationsAn order is promulgated by a public servant lawfully empowered to promulgated such order, directing that a religious procession shall not pass down a certain street. A knowingly disobeys the order, and thereby causes danger of riot. A has committed the offence defined in this section."
10,Contempts of Authority of Public Servants,189,Threat of injury to public servant,"Whoever holds out any threat of injury to any public servant, or to any person in whom he believes that public servant to be interested, for the purpose of inducing that public servant to do any act, or to forbear or delay to do any act, connected with the exercise of the public functions of such public servant, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
10,Contempts of Authority of Public Servants,190,Threat of injury to induce person to refrain from applying for protection to public servant,"Whoever holds out any threat of injury to any person for the purpose of inducing that person to refrain or desist from making a legal application for protection against any injury to any public servant legally empowered as such to give such protection, or to cause such protection to be given, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both."
11,False Evidence and Offences Against Public Justice,,,
11,False Evidence and Offences Against Public Justice,191,Giving false evidence,"Whoever, being legally bound by an oath or by an express provision of law to state the truth, or being bound by law to make a declaration upon any subject, makes any statement which is false, and which he either knows or believes to be false or does not believe to be true, is said to give false evidence.ExplanationsA statement is within the meaning of this section whether it is made verbally or otherwise.A false statement as to the belief of the person attesting is within the meaning of this section, and a person may be guilty of giving false evidence by stating that he believes a thing which he does not believe, as well as by stating that he knows a thing which he does not know.IllustrationsA, in support of a just claim which B has against Z for one thousand rupees, falsely swears on a trial that he heard Z admit the justice of Bô claim. A has given false evidence.A, being bound by an oath to state the truth, states that he believes a certain signature to be the handwriting of Z, when he does not believe it to be the handwriting of Z. Here A states that which he knows to be false, and therefore gives false evidence.A, knowing the general character of Zô handwriting, states that he believes a certain signature to be the handwriting of Z; A in good faith believing it to be so. Here Aô statement is merely as to his belief, and is true as to his belief, and therefore, although the signature may not be the handwriting of Z, A has not given false evidence.A, being bound by an oath to state the truth, states that he knows that Z was at a particular place on a particular day, not knowing anything upon the subject. A gives false evidence whether Z was at that place on the day named or not.A, an interpreter or translator, gives or certifies as a true interpretation or translation of a statement or document, which he is bound by oath to interpret or translate truly, that which is not and which he does not believe to be a true interpretation or translation. A has given false evidence."
11,False Evidence and Offences Against Public Justice,192,Fabricating false evidence,"Whoever causes any circumstance to exist or makes any false entry in any book or record, or electronic record, or makes any document or electronic record containing a false statement, intending that such circumstance, false entry or false statement may appear in evidence in a judicial proceeding, or in a proceeding taken by law before a public servant as such, or before an arbitrator, and that such circumstance, false entry or false statement, so appearing in evidence, may cause any person who in such proceeding is to form an opinion upon the evidence, to entertain an erroneous opinion touching any point material to the result of such proceeding is said to fabricate false evidenceù.IllustrationsA puts jewels into a box belonging to Z, with the intention that they may be found in that box, and that this circumstance may cause Z to be convicted of theft. A has fabricated false evidence.A makes a false entry in his shop-book for the purpose of using it as corroborative evidence in a Court of Justice. A has fabricated false evidence.A, with the intention of causing Z to be convicted of a criminal conspiracy, writes a letter in imitation of Zô handwriting, purporting to be addressed to an accomplice in such criminal conspiracy, and puts the letter in a place which he knows that the officers of the police are likely to search. A has fabricated false evidence."
11,False Evidence and Offences Against Public Justice,193,Punishment for false evidence,"Whoever intentionally gives false evidence in any of a judicial proceeding, or fabricates false evidence for the purpose of being used in any stage of a judicial proceeding, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine; and whoever intentionally gives or fabricates false evidence in any other case, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.ExplanationsA trial before a Court-martial is a judicial proceeding.An investigation directed by law preliminary to a proceeding before a Court of Justice, is a stage of a judicial proceeding, though that investigation may not take place before a Court of Justice.IllustrationsA, in an enquiry before a Magistrate for the purpose of ascertaining whether Z ought to be committed for trial, makes on oath a statement which he knows to be false. As this enquiry is a stage of a judicial proceeding, A as given false evidence.An investigation directed by a Court of Justice according to law, and conducted under the authority of a Court of Justice, is a stage of a judicial proceeding, though that investigation may not take place before a Court of Justice.IllustrationsA, in an enquiry before an officer deputed by a Court of Justice to ascertain on the spot the boundaries of land, makes on oath a statement which he knows to be false. As this enquiry is a stage of a judicial proceeding, A has given false evidence."
11,False Evidence and Offences Against Public Justice,194,Giving or fabricating false evidence with intent to procure conviction of capital offence,"Whoever gives or fabricates false evidence, intending thereby to cause, or knowing it to be likely that he will thereby cause, any person to be convicted of an offence which is capital by the laws for the time being in force in India shall be punished with imprisonment for life, or with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine;If innocent person be thereby conviceted and executed ì and if an innocent person be convicted and executed in consequence of such false evidence, the person who gives such false evidence shall be punished either with death or the punishment hereinbefore described."
11,False Evidence and Offences Against Public Justice,195,Giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life or imprisonment,"Whoever gives or fabricates false evidence intending thereby to cause, or knowing it to be likely that he will thereby cause, any person to be convicted of an offence which by the law for the time being in force in India is not capital, but punishable with imprisonment for life, or imprisonment for a term of seven years or upwards, shall be punished as a person convicted of that offence would be liable to be punished.IllustrationsA gives false evidence before a Court of Justice, intending thereby to cause Z to be convicted of a dacoity. The punishment of dacoity is imprisonment for life, or rigorous imprisonment for a term which may extend to ten years, with or without fine. A, therefore, is liable to imprisonment for life or imprisonment, with or without fine."
11,False Evidence and Offences Against Public Justice,196,Using evidence known to be false,"Whoever corruptly uses or attempts to use as true or genuine evidence any evidence which he knows to be false or fabricated, shall be punished in the same manner as if he gave or fabricated false evidence."
11,False Evidence and Offences Against Public Justice,197,Issuing or signing false certificate,"Whoever issues or signs any certificate required by law to be given or signed, or relating to any fact of which such certificate is by law admissible in evidence, knowing or believing that such certificate is false in any material point, shall be punished in the same manner as if he gave false evidence."
11,False Evidence and Offences Against Public Justice,198,Using as true a certificate known to be false,"Whoever corruptly uses or attempts to use any such certificate as a true certificate, knowing the same to be false in any material point, shall be punished in the same manner as if he gave false evidence."
11,False Evidence and Offences Against Public Justice,199,False statement made in declaration which is by law receivable as evidence,"Whoever, in any declaration made or subscribed by him, which declaration any Court of Justice, or any public servant or other person, is bound or authorized by law to receive as evidence of any fact, makes any statement which is false, and which he either knows or believes to be false or does not believe to be true, touching any point material to the object for which the declaration is made or used, shall be punished in the same manner as if he gave false evidence."
11,False Evidence and Offences Against Public Justice,200,Using as true such declaration knowing it to be false,"Whoever corruptly uses or attempts to use as true any such declaration, knowing the same to be false in any material point, shall be punished in the same manner as if he gave false evidence.ExplanationsA declaration which is inadmissible merely upon the ground of some informality, is a declaration within the meaning of sections 199 and 200."
11,False Evidence and Offences Against Public Justice,201,"Causing disappearance of evidence of offence, or giving false information to screen offender","Whoever, knowing or having reason to believe that an offence has been committed, causes any evidence of the commission of that offence to disappear, with the intention of screening the offender from legal punishment, or with that intention gives any information respecting the offence which he knows or believes to be false,if a capital offence ì shall, if the offence which he knows or believes to have been committed is punishable with death, be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine;if punishable with imprisonment for life ì and if the offence is punishable with imprisonment for life, or with imprisonment which may extend to ten years, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine;if punishable with less than ten years; imprisonment ì and if the offence is punishable with imprisonment for any term not extending to ten years, shall be punished with imprisonment of the description provided for the offence, for a term which may extend to one-fourth part of the longest term of the imprisonment provided for the offence, or with fine, or with both.IllustrationsA, knowing that B has murdered Z, assists B to hide the body with the intention of screening B from punishment. A is liable to imprisonment of either description for seven years, and also to fine."
11,False Evidence and Offences Against Public Justice,202,Intentional omission to give information of offence by person bound to inform,"Whoever, knowing or having reason to believe that an offence has been committed, intentionally omits to give any information respecting that offence which he is legally bound to give, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both."
11,False Evidence and Offences Against Public Justice,203,Giving false information respecting an offence committed,"Whoever, knowing or having reason to believe that an offence has been committed, gives any information respecting that offence which he knows or believes to be false, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.ExplanationsIn sections 201 and 202 and in this section the word offenceù includes any act committed at any place out of India, which, if committed in India, would be punishable under any of the following sections, namely, 302, 304, 382, 392, 393, 394, 395, 396, 397, 398, 399, 402, 435, 436, 449, 450, 457, 458, 459 and 460."
11,False Evidence and Offences Against Public Justice,204,Destruction of document to prevent its production as evidence,"Whoever secrets or destroys any document or electronic record which he may be lawfully compelled to produce as evidence in a Court of Justice, or in any proceeding lawfully held before a public servant, as such, or obliterates or renders illegible the whole or any part of such document or electronic record with the intention of preventing the same from being produced or used as evidence before such Court or public servant as aforesaid, or after he shall have been lawfully summoned or required to produce the same for that purpose, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
11,False Evidence and Offences Against Public Justice,205,False personation for purpose of act or proceeding in suit or prosecution,"Whoever falsely personates another, and in such assumed character makes any admission or statement, or confesses judgment, or causes any process to be issued or becomes bail or security, or does any other act in any suit or criminal prosecution, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
11,False Evidence and Offences Against Public Justice,206,Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution,"Whoever fraudulently removes, conceals, transfers or delivers to any person any property or any interest therein, intending thereby to prevent that property or interest therein from being taken as a forfeiture or in satisfaction of a fine, under a sentence which has been pronounced, or which he knows to be likely to be pronounced, by a Court of Justice or other competent authority, or from being taken in execution of a decree or order which has been made, or which he knows to be likely to be made by a Court of Justice in a civil suit, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
11,False Evidence and Offences Against Public Justice,207,Fraudulent claim to property to prevent its seizure as forfeited or in execution,"Whoever fraudulently accepts, receives or claims any property or any interest therein, knowing that he has no right or rightful claim to such property or interest, or practices any deception touching any right to any property or any interest therein, intending thereby to prevent that property or interest therein from being taken as a forfeiture or in satisfaction of a fine, under a sentence which has been pronounced, or which he knows to be likely to be pronounced by a Court of Justice or other competent authority, or from being taken in execution of a decree or order which has been made, or which he knows to be likely to be made by a Court of Justice in a civil suit, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
